source_lang,target_lang,n_gram,perplexity
en,en,1,0.027534387960594514
en,es,1,0.027087410680324293
en,fr,1,0.025843086279208057
en,in,1,0.02583390116126192
en,it,1,0.026818610945176128
en,nl,1,0.02647777701512148
en,pt,1,0.026788974065418622
en,tl,1,0.02492668718969379
en,en,2,0.057248007913471774
en,es,2,0.04534300419838458
en,fr,2,0.04260683574381538
en,in,2,0.04071543889860608
en,it,2,0.04400667891348315
en,nl,2,0.04350996233533679
en,pt,2,0.04140488141532812
en,tl,2,0.04305648296003084
en,en,3,0.12181431775834986
en,es,3,0.04727619382104461
en,fr,3,0.04458069334337101
en,in,3,0.038793969010670275
en,it,3,0.048178724091881925
en,nl,3,0.04511694609165432
en,pt,3,0.043162498003389005
en,tl,3,0.04637603767733763
en,en,4,0.2491377504155061
en,es,4,0.0248107370084853
en,fr,4,0.025445833354476206
en,in,4,0.017004942805352887
en,it,4,0.026282615600700585
en,nl,4,0.024560153838766773
en,pt,4,0.02190386155274382
en,tl,4,0.028533381228944197
es,en,1,0.02540212253540707
es,es,1,0.030008336209240937
es,fr,1,0.026728902238714117
es,in,1,0.024630493142917233
es,it,1,0.02719648446950493
es,nl,1,0.025373599227511968
es,pt,1,0.02939239672956537
es,tl,1,0.023673602100028477
es,en,2,0.03853837608198049
es,es,2,0.06614236078309983
es,fr,2,0.04374569029114469
es,in,2,0.03652232437056537
es,it,2,0.05036088202204378
es,nl,2,0.03718157169775425
es,pt,2,0.05097747952255208
es,tl,2,0.03839558662509304
es,en,3,0.044278588508343125
es,es,3,0.12668784796025193
es,fr,3,0.04496423334211545
es,in,3,0.035937365006908334
es,it,3,0.05740998538665352
es,nl,3,0.03646430134113613
es,pt,3,0.06017643852400101
es,tl,3,0.04171850564868391
es,en,4,0.025779702944548455
es,es,4,0.23386952388500043
es,fr,4,0.024776298664886887
es,in,4,0.014956399945509166
es,it,4,0.03788181927932264
es,nl,4,0.017510953947922417
es,pt,4,0.04262933776870844
es,tl,4,0.02592628742801714
fr,en,1,0.025679697110765162
fr,es,1,0.027519545756048737
fr,fr,1,0.028479736677189782
fr,in,1,0.024095907658762555
fr,it,1,0.0270058054133109
fr,nl,1,0.025649989029933276
fr,pt,1,0.028032625540269942
fr,tl,1,0.022597692700782507
fr,en,2,0.04256976492186857
fr,es,2,0.04901968684350773
fr,fr,2,0.06140458630239813
fr,in,2,0.037432435860017224
fr,it,2,0.04621961773474713
fr,nl,2,0.0407901392265227
fr,pt,2,0.04521987158650317
fr,tl,2,0.03708670280477445
fr,en,3,0.05010384338257782
fr,es,3,0.05277037676042104
fr,fr,3,0.12621435303873937
fr,in,3,0.03715115516441047
fr,it,3,0.05168678719730921
fr,nl,3,0.04159381519327433
fr,pt,3,0.04691195145486989
fr,tl,3,0.041216401114259865
fr,en,4,0.03209884276485535
fr,es,4,0.03062802068843414
fr,fr,4,0.245445573570566
fr,in,4,0.015996442805978322
fr,it,4,0.030006183956718623
fr,nl,4,0.020944283905548443
fr,pt,4,0.026301056138932907
fr,tl,4,0.02422891430345742
in,en,1,0.02517886106627788
in,es,1,0.0264880786658073
in,fr,1,0.023224572224770326
in,in,1,0.02902735755000277
in,it,1,0.02520081302169447
in,nl,1,0.025279653221256596
in,pt,1,0.02612865432975406
in,tl,1,0.026989866484561875
in,en,2,0.04146711092314966
in,es,2,0.04185598746770986
in,fr,2,0.03734433348276235
in,in,2,0.05840584763842498
in,it,2,0.043297737900819824
in,nl,2,0.041302136776635204
in,pt,2,0.03900973904017194
in,tl,2,0.050145751795753424
in,en,3,0.05050789551031983
in,es,3,0.044989461611621075
in,fr,3,0.03800782031467252
in,in,3,0.11189364165630576
in,it,3,0.04676411843544859
in,nl,3,0.04309151849512205
in,pt,3,0.043187787334935626
in,tl,3,0.0595213903560802
in,en,4,0.03640011082432098
in,es,4,0.022919969680419042
in,fr,4,0.019974174964948434
in,in,4,0.22632528067162544
in,it,4,0.024918453444310797
in,nl,4,0.022036997408868733
in,pt,4,0.021915940721416612
in,tl,4,0.04253656296165077
it,en,1,0.02567973916989777
it,es,1,0.02787354815815827
it,fr,1,0.026666386845379954
it,in,1,0.02458109621754418
it,it,1,0.028311609741669495
it,nl,1,0.02551891620777188
it,pt,1,0.027992681417343394
it,tl,1,0.0238826742330496
it,en,2,0.03868949327086615
it,es,2,0.05196128960743492
it,fr,2,0.04216677940317152
it,in,2,0.03700771179656314
it,it,2,0.06374892034950717
it,nl,2,0.0368570065310237
it,pt,2,0.04796870028964008
it,tl,2,0.039726943567736456
it,en,3,0.04554691270429328
